"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1855514695","x1271945733575454720",2020-06-13 23:21:09,"pizzadormida","Meu Deus eu já ri apaixonado pela House of Escada! #Legendarymax","Twitter for iPhone",64,,,,FALSE,FALSE,13,0,,,"Legendarymax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pizzadormida/status/1271945733575454720","pizza #blacklivesmatter 🍕🇧🇷","Salvador, Brasil","não olho DM","https://t.co/2GlA1KC6D6",FALSE,38361,3282,17,2416,105226,2013-09-11 21:20:52,FALSE,"https://t.co/2GlA1KC6D6","http://instagram.com/arquiteto.liel",,"https://pbs.twimg.com/profile_banners/1855514695/1590505833","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1258533804387504129/cOQ-II41_normal.jpg"
"x1002583814022017024","x1271945134079434753",2020-06-13 23:18:46,"pocfloyd","""My reveal is NASTY"" #Legendarymax https://t.co/IlEG3cWp5a","Twitter Web App",34,,,,FALSE,FALSE,1,0,,,"Legendarymax",,,,,"http://pbs.twimg.com/media/EabbWkqXQAAqdaP.jpg","https://t.co/IlEG3cWp5a","https://twitter.com/pocfloyd/status/1271945134079434753/photo/1","photo","http://pbs.twimg.com/media/EabbWkqXQAAqdaP.jpg","https://t.co/IlEG3cWp5a","https://twitter.com/pocfloyd/status/1271945134079434753/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pocfloyd/status/1271945134079434753","00011000","","Design, ilustração e abobrinhas

I'm a lone wolf who doesn't want to be alone 💫INFJ ruled by saturn","https://t.co/l78YNc4oQP",FALSE,81,237,2,24869,44323,2018-06-01 16:13:03,FALSE,"https://t.co/l78YNc4oQP","https://www.behance.net/pocfloyd",,"https://pbs.twimg.com/profile_banners/1002583814022017024/1591577981","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1269247914087497734/hJd-egZh_normal.jpg"
"x27231121","x1271942439188803597",2020-06-13 23:08:03,"perryedseraphin","I can’t take the judges seriously when they are constantly raving about House of Ninja and really tough on other houses who clearly are better than the former #Legendarymax","Twitter Web App",172,,,,FALSE,FALSE,0,0,,,"Legendarymax",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/perryedseraphin/status/1271942439188803597","Perrye-Delphine Seraphin","Montreal","MA student @yorkuniversity ~ Freelance writer ~ Français/English ~ She/Her/Elle","https://t.co/4YiWvLTVns",FALSE,354,393,2,1703,20091,2009-03-28 13:54:49,FALSE,"https://t.co/4YiWvLTVns","https://www.instagram.com/perryedseraphin/",,"https://pbs.twimg.com/profile_banners/27231121/1544008620","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1171741882621280257/avqbDmQu_normal.jpg"
"x2201941629","x1271938552646041600",2020-06-13 22:52:37,"andresfdg_","Vuelvo a confirmar que estoy ENAMORADO del father de house of gucci #Legendarymax aaaaaaa https://t.co/AwibtV9SeU","Twitter for Android",89,,,,TRUE,FALSE,0,0,,,"Legendarymax",,"twitter.com/xncognxto/stat…","https://t.co/AwibtV9SeU","https://twitter.com/xncognxto/status/1118147480280084482",,,,,,,,,,,"es","x1118147480280084482","📹 IG: j_ondarox 🍆 https://t.co/pJqxLwudf9",2019-04-16 13:41:48,"Twitter for iPhone",3105,572,"x1116968708080009222","xncognxto","𝘁𝗵𝗲 𝗰𝗼𝗻𝗻𝗼𝗶𝘀𝘀𝗲𝘂𝗿 🌈🔞",25093,1924,2387,"📍 𝗮𝗻𝘆𝘁𝗼𝘄𝗻, 𝘂𝘀𝗮","𝘄𝗲𝗹𝗰𝗼𝗺𝗲 𝘁𝗼 𝘁𝗵𝗲 𝗱𝗮𝗿𝗸 𝘀𝗶𝗱𝗲 😈 #b8",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/andresfdg_/status/1271938552646041600","Andrés💅🏼","Bogotá, D.C., Colombia","Sin comentarios // Universidad Nacional de Colombia 🦉💚",,FALSE,751,624,0,25115,17837,2013-11-30 16:11:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/2201941629/1581966976","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1256682489579548675/-Kl64SSl_normal.jpg"
"x1165683107841871873","x1271937243092078594",2020-06-13 22:47:24,"andyogenes","Chocado até agora com o nude vazado do father Jarell de #Legendarymax Se Deus fez, é porque cabe🗣️","Twitter for Android",98,,,,FALSE,FALSE,2,0,,,"Legendarymax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/andyogenes/status/1271937243092078594","amor de panda","Ceará, Brasil","ᴇɴᴀᴄᴛᴏʀ & ᴀsᴘɪʀᴀɴᴛᴇ ᴀ ᴇɴɢᴇɴʜᴇɪʀᴏ & ᴏ ʜᴏᴍᴏ ᴍᴀɪs ᴅᴇsᴀsᴛʀᴀᴅᴏ ᴅᴏ ᴍᴜɴᴅᴏ & ʙɪxᴄᴏɪᴛᴇɪʀᴀ ɴᴀᴛᴀ & sᴏʙʀᴇᴠɪᴠᴇɴᴅᴏ ᴀ ᴇssᴇ ᴅᴇsɢᴏᴠᴇʀɴᴏ","https://t.co/2L5uXAc7gZ",FALSE,2311,1738,0,1211,16233,2019-08-25 17:51:37,FALSE,"https://t.co/2L5uXAc7gZ","https://instagram.com/andyogenes?igshid=nnehk9o68yjo",,"https://pbs.twimg.com/profile_banners/1165683107841871873/1566757446",,"http://pbs.twimg.com/profile_images/1267726965907357696/4AcaGA21_normal.jpg"
"x52206923","x1271925619551600641",2020-06-13 22:01:13,"romeromiranda","O ball dessa semana de #Legendarymax tá maravilhosooo","Twitter for Android",53,,,,FALSE,FALSE,1,0,,,"Legendarymax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/romeromiranda/status/1271925619551600641","Romero mas nao o Brito","Recife","Não estou bebendo, não estou transando, não estou fazendo nada. Estou esperando a vontade de Deus.","https://t.co/E5xttJWYls",FALSE,414,539,2,19244,24073,2009-06-29 22:08:49,FALSE,"https://t.co/E5xttJWYls","http://Instagram.com/romeromtavares",,"https://pbs.twimg.com/profile_banners/52206923/1480083187","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/1215812185584173056/xa4TITbh_normal.jpg"
"x180913321","x1271925559338164224",2020-06-13 22:00:59,"Nice_Anony","Mother Erika is really amazing! #LegendaryMax","Twitter Web App",45,,,,FALSE,FALSE,0,0,,,"LegendaryMax",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nice_Anony/status/1271925559338164224","Nice Anon","Onicha Uboma","",,FALSE,463,53,8,82227,0,2010-08-20 20:34:35,FALSE,,,,,"http://abs.twimg.com/images/themes/theme12/bg.gif","http://pbs.twimg.com/profile_images/1250624784746123264/AwmeNtJI_normal.jpg"
"x180913321","x1271924291970502656",2020-06-13 21:55:57,"Nice_Anony","They gotta chop House of Ninja outta here. #Legendarymax","Twitter Web App",56,,,,FALSE,FALSE,0,0,,,"Legendarymax",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nice_Anony/status/1271924291970502656","Nice Anon","Onicha Uboma","",,FALSE,463,53,8,82227,0,2010-08-20 20:34:35,FALSE,,,,,"http://abs.twimg.com/images/themes/theme12/bg.gif","http://pbs.twimg.com/profile_images/1250624784746123264/AwmeNtJI_normal.jpg"
"x180913321","x1271906101827698701",2020-06-13 20:43:40,"Nice_Anony","#LegendaryMax is the best part of 2020. I love Ballroom with all my heart.","Twitter Web App",74,,,,FALSE,FALSE,1,1,,,"LegendaryMax",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nice_Anony/status/1271906101827698701","Nice Anon","Onicha Uboma","",,FALSE,463,53,8,82227,0,2010-08-20 20:34:35,FALSE,,,,,"http://abs.twimg.com/images/themes/theme12/bg.gif","http://pbs.twimg.com/profile_images/1250624784746123264/AwmeNtJI_normal.jpg"
"x2944228726","x1271922229052354560",2020-06-13 21:47:45,"whatashinay","A CATEGORIA DE CORPO DE #Legendarymax caraolhoooooo eu to no chão","Twitter for Android",65,,,,FALSE,FALSE,3,0,,,"Legendarymax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/whatashinay/status/1271922229052354560","hori","João Pessoa, Brasil","chama liga que eu sou tua amiga porem depende",,FALSE,241,340,0,9866,11322,2014-12-27 18:11:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/2944228726/1544221747","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271256598447611911/Jd4OgCuV_normal.jpg"
